ssh://kangpeipei@10.23.10.163:22/home/kangpeipei/anaconda3/envs/sem-pcyc/bin/python3.7 -u /home/kangpeipei/hx/cWGAN_demo/train.py
Parameters:	Namespace(batch_size=64, channels=3, dataset='TU-Berlin', dim_out=25600, epoch_size=100, epochs=10, filter_sketch=False, gamma=0.1, gzs_sbir=False, im_sz=160, lambda_disc_im=1.0, lambda_disc_sk=1.0, lambda_gen=1.0, log_interval=1, lr=0.0001, milestones=[], momentum=0.9, ngpu=1, num_workers=4, photo_sketch='./pretrained/photosketch.pth', semantic_models=['word2vec-google-news'], sk_sz=160, test=False)
Checkpoint path: ./CheckPoints/TU-Berlin/word2vec-google-news/25600
Logger path: ./LogFiles/TU-Berlin/word2vec-google-news/25600
Result path: ./Results/TU-Berlin/word2vec-google-news/25600
Loading data...../sem-pcyc-master/datasets/TU-Berlin/images/ ../sem-pcyc-master/datasets/TU-Berlin/sketches/































Done
DataLoader Done!
Initializing model variables...Done
Initializing trainable models...gen done
gen done
disc done
disc done
Defining optimizers...Done
Defining losses...Done
Initializing variables...Done
Setting logger...Done
Checking cuda...*Cuda exists*...Done
***Train***
[Train] Epoch: [1][1/100]	Time 5.306 (5.306)	Gen. Loss 0.0916 (0.0916)	Disc. Loss -0.0166 (-0.0166)	
[Train] Epoch: [1][17/100]	Time 0.440 (0.728)	Gen. Loss 0.1067 (0.1040)	Disc. Loss 0.0007 (-0.0016)	
[Train] Epoch: [1][18/100]	Time 0.441 (0.712)	Gen. Loss 0.1014 (0.1038)	Disc. Loss -0.0027 (-0.0016)	
[Train] Epoch: [1][19/100]	Time 0.443 (0.697)	Gen. Loss 0.0994 (0.1036)	Disc. Loss 0.0057 (-0.0012)	
[Train] Epoch: [1][20/100]	Time 0.442 (0.685)	Gen. Loss 0.1011 (0.1035)	Disc. Loss 0.0083 (-0.0008)	
[Train] Epoch: [1][21/100]	Time 0.443 (0.673)	Gen. Loss 0.1073 (0.1036)	Disc. Loss -0.0057 (-0.0010)	
[Train] Epoch: [1][22/100]	Time 0.443 (0.663)	Gen. Loss 0.1016 (0.1036)	Disc. Loss 0.0079 (-0.0006)	
[Train] Epoch: [1][23/100]	Time 0.443 (0.653)	Gen. Loss 0.1170 (0.1041)	Disc. Loss 0.0028 (-0.0004)	
[Train] Epoch: [1][24/100]	Time 0.442 (0.644)	Gen. Loss 0.0994 (0.1039)	Disc. Loss -0.0119 (-0.0009)	
[Train] Epoch: [1][25/100]	Time 0.441 (0.636)	Gen. Loss 0.0978 (0.1037)	Disc. Loss -0.0126 (-0.0014)	
[Train] Epoch: [1][26/100]	Time 0.442 (0.629)	Gen. Loss 0.1108 (0.1040)	Disc. Loss -0.0040 (-0.0015)	
[Train] Epoch: [1][27/100]	Time 0.442 (0.622)	Gen. Loss 0.1091 (0.1042)	Disc. Loss 0.0017 (-0.0014)	
[Train] Epoch: [1][28/100]	Time 0.442 (0.615)	Gen. Loss 0.1126 (0.1045)	Disc. Loss 0.0139 (-0.0008)	
[Train] Epoch: [1][29/100]	Time 0.442 (0.609)	Gen. Loss 0.0946 (0.1041)	Disc. Loss -0.0153 (-0.0013)	
[Train] Epoch: [1][30/100]	Time 0.441 (0.604)	Gen. Loss 0.0998 (0.1040)	Disc. Loss 0.0017 (-0.0012)	
[Train] Epoch: [1][31/100]	Time 0.442 (0.599)	Gen. Loss 0.1098 (0.1042)	Disc. Loss 0.0085 (-0.0009)	
[Train] Epoch: [1][32/100]	Time 0.442 (0.594)	Gen. Loss 0.1023 (0.1041)	Disc. Loss -0.0017 (-0.0009)	
[Train] Epoch: [1][33/100]	Time 0.441 (0.589)	Gen. Loss 0.1013 (0.1040)	Disc. Loss 0.0066 (-0.0007)	
[Train] Epoch: [1][34/100]	Time 0.441 (0.585)	Gen. Loss 0.1102 (0.1042)	Disc. Loss 0.0042 (-0.0006)	
[Train] Epoch: [1][35/100]	Time 0.442 (0.581)	Gen. Loss 0.1057 (0.1042)	Disc. Loss 0.0029 (-0.0005)	
[Train] Epoch: [1][36/100]	Time 0.442 (0.577)	Gen. Loss 0.0997 (0.1041)	Disc. Loss -0.0060 (-0.0006)	
[Train] Epoch: [1][37/100]	Time 0.442 (0.573)	Gen. Loss 0.1070 (0.1042)	Disc. Loss 0.0182 (-0.0001)	
[Train] Epoch: [1][38/100]	Time 0.442 (0.570)	Gen. Loss 0.0994 (0.1041)	Disc. Loss -0.0044 (-0.0002)	
[Train] Epoch: [1][39/100]	Time 0.442 (0.566)	Gen. Loss 0.0999 (0.1040)	Disc. Loss -0.0202 (-0.0007)	
[Train] Epoch: [1][40/100]	Time 0.443 (0.563)	Gen. Loss 0.1120 (0.1042)	Disc. Loss -0.0005 (-0.0007)	
[Train] Epoch: [1][41/100]	Time 0.443 (0.560)	Gen. Loss 0.0986 (0.1040)	Disc. Loss -0.0129 (-0.0010)	
[Train] Epoch: [1][42/100]	Time 0.441 (0.558)	Gen. Loss 0.1053 (0.1041)	Disc. Loss -0.0112 (-0.0013)	
[Train] Epoch: [1][43/100]	Time 0.443 (0.555)	Gen. Loss 0.1022 (0.1040)	Disc. Loss 0.0048 (-0.0011)	
[Train] Epoch: [1][44/100]	Time 0.442 (0.552)	Gen. Loss 0.1081 (0.1041)	Disc. Loss 0.0057 (-0.0010)	
[Train] Epoch: [1][45/100]	Time 0.443 (0.550)	Gen. Loss 0.1082 (0.1042)	Disc. Loss -0.0086 (-0.0011)	
[Train] Epoch: [1][46/100]	Time 0.442 (0.548)	Gen. Loss 0.0983 (0.1041)	Disc. Loss -0.0108 (-0.0013)	
[Train] Epoch: [1][47/100]	Time 0.442 (0.545)	Gen. Loss 0.1118 (0.1042)	Disc. Loss -0.0018 (-0.0014)	
[Train] Epoch: [1][48/100]	Time 0.442 (0.543)	Gen. Loss 0.1058 (0.1043)	Disc. Loss -0.0024 (-0.0014)	
[Train] Epoch: [1][49/100]	Time 0.441 (0.541)	Gen. Loss 0.1085 (0.1044)	Disc. Loss 0.0104 (-0.0011)	
[Train] Epoch: [1][50/100]	Time 0.442 (0.539)	Gen. Loss 0.1083 (0.1044)	Disc. Loss -0.0102 (-0.0013)	
[Train] Epoch: [1][51/100]	Time 0.444 (0.537)	Gen. Loss 0.1129 (0.1046)	Disc. Loss -0.0041 (-0.0014)	
[Train] Epoch: [1][52/100]	Time 0.443 (0.535)	Gen. Loss 0.1025 (0.1046)	Disc. Loss -0.0063 (-0.0015)	
[Train] Epoch: [1][53/100]	Time 0.442 (0.534)	Gen. Loss 0.1100 (0.1047)	Disc. Loss 0.0106 (-0.0012)	
[Train] Epoch: [1][54/100]	Time 0.442 (0.532)	Gen. Loss 0.1021 (0.1046)	Disc. Loss -0.0077 (-0.0014)	
[Train] Epoch: [1][55/100]	Time 0.443 (0.530)	Gen. Loss 0.1055 (0.1046)	Disc. Loss 0.0025 (-0.0013)	
[Train] Epoch: [1][56/100]	Time 0.442 (0.529)	Gen. Loss 0.0999 (0.1045)	Disc. Loss -0.0036 (-0.0013)	
[Train] Epoch: [1][57/100]	Time 0.442 (0.527)	Gen. Loss 0.1060 (0.1046)	Disc. Loss -0.0033 (-0.0014)	
[Train] Epoch: [1][58/100]	Time 0.442 (0.526)	Gen. Loss 0.1047 (0.1046)	Disc. Loss 0.0053 (-0.0013)	
[Train] Epoch: [1][59/100]	Time 0.442 (0.524)	Gen. Loss 0.1030 (0.1045)	Disc. Loss 0.0012 (-0.0012)	
[Train] Epoch: [1][60/100]	Time 0.442 (0.523)	Gen. Loss 0.1011 (0.1045)	Disc. Loss -0.0231 (-0.0016)	
[Train] Epoch: [1][61/100]	Time 0.443 (0.522)	Gen. Loss 0.1127 (0.1046)	Disc. Loss -0.0228 (-0.0019)	
[Train] Epoch: [1][62/100]	Time 0.443 (0.520)	Gen. Loss 0.1016 (0.1046)	Disc. Loss -0.0021 (-0.0019)	
[Train] Epoch: [1][63/100]	Time 0.442 (0.519)	Gen. Loss 0.1013 (0.1045)	Disc. Loss -0.0020 (-0.0019)	
[Train] Epoch: [1][64/100]	Time 0.442 (0.518)	Gen. Loss 0.1095 (0.1046)	Disc. Loss 0.0110 (-0.0017)	
[Train] Epoch: [1][65/100]	Time 0.441 (0.517)	Gen. Loss 0.1003 (0.1045)	Disc. Loss 0.0016 (-0.0017)	
[Train] Epoch: [1][66/100]	Time 0.442 (0.516)	Gen. Loss 0.1198 (0.1048)	Disc. Loss 0.0132 (-0.0015)	
[Train] Epoch: [1][67/100]	Time 0.442 (0.514)	Gen. Loss 0.1044 (0.1048)	Disc. Loss -0.0106 (-0.0016)	
[Train] Epoch: [1][68/100]	Time 0.442 (0.513)	Gen. Loss 0.0992 (0.1047)	Disc. Loss -0.0133 (-0.0018)	
[Train] Epoch: [1][69/100]	Time 0.443 (0.512)	Gen. Loss 0.1043 (0.1047)	Disc. Loss 0.0104 (-0.0016)	
[Train] Epoch: [1][70/100]	Time 0.442 (0.511)	Gen. Loss 0.1008 (0.1046)	Disc. Loss 0.0141 (-0.0014)	
[Train] Epoch: [1][71/100]	Time 0.443 (0.510)	Gen. Loss 0.1105 (0.1047)	Disc. Loss 0.0102 (-0.0012)	
[Train] Epoch: [1][72/100]	Time 0.442 (0.509)	Gen. Loss 0.1091 (0.1048)	Disc. Loss -0.0012 (-0.0012)	
[Train] Epoch: [1][73/100]	Time 0.443 (0.509)	Gen. Loss 0.1047 (0.1048)	Disc. Loss 0.0241 (-0.0009)	
[Train] Epoch: [1][74/100]	Time 0.443 (0.508)	Gen. Loss 0.1167 (0.1049)	Disc. Loss 0.0115 (-0.0007)	
[Train] Epoch: [1][75/100]	Time 0.442 (0.507)	Gen. Loss 0.1034 (0.1049)	Disc. Loss 0.0055 (-0.0006)	
[Train] Epoch: [1][76/100]	Time 0.442 (0.506)	Gen. Loss 0.1138 (0.1050)	Disc. Loss 0.0015 (-0.0006)	
[Train] Epoch: [1][77/100]	Time 0.442 (0.505)	Gen. Loss 0.1207 (0.1052)	Disc. Loss 0.0059 (-0.0005)	
[Train] Epoch: [1][78/100]	Time 0.442 (0.504)	Gen. Loss 0.1170 (0.1054)	Disc. Loss 0.0074 (-0.0004)	
[Train] Epoch: [1][79/100]	Time 0.443 (0.504)	Gen. Loss 0.1123 (0.1055)	Disc. Loss -0.0098 (-0.0005)	
[Train] Epoch: [1][80/100]	Time 0.442 (0.503)	Gen. Loss 0.1054 (0.1055)	Disc. Loss -0.0243 (-0.0008)	
[Train] Epoch: [1][81/100]	Time 0.442 (0.502)	Gen. Loss 0.1146 (0.1056)	Disc. Loss 0.0021 (-0.0008)	
[Train] Epoch: [1][82/100]	Time 0.443 (0.501)	Gen. Loss 0.1013 (0.1055)	Disc. Loss -0.0054 (-0.0008)	
[Train] Epoch: [1][83/100]	Time 0.442 (0.501)	Gen. Loss 0.1123 (0.1056)	Disc. Loss 0.0010 (-0.0008)	
[Train] Epoch: [1][84/100]	Time 0.443 (0.500)	Gen. Loss 0.1058 (0.1056)	Disc. Loss -0.0056 (-0.0009)	
[Train] Epoch: [1][85/100]	Time 0.442 (0.499)	Gen. Loss 0.1122 (0.1057)	Disc. Loss -0.0072 (-0.0009)	
[Train] Epoch: [1][86/100]	Time 0.442 (0.499)	Gen. Loss 0.0998 (0.1056)	Disc. Loss -0.0052 (-0.0010)	
[Train] Epoch: [1][87/100]	Time 0.442 (0.498)	Gen. Loss 0.0987 (0.1055)	Disc. Loss 0.0083 (-0.0009)	
[Train] Epoch: [1][88/100]	Time 0.442 (0.497)	Gen. Loss 0.1064 (0.1055)	Disc. Loss 0.0040 (-0.0008)	
[Train] Epoch: [1][89/100]	Time 0.443 (0.497)	Gen. Loss 0.1084 (0.1056)	Disc. Loss 0.0147 (-0.0006)	
[Train] Epoch: [1][90/100]	Time 0.443 (0.496)	Gen. Loss 0.1152 (0.1057)	Disc. Loss 0.0018 (-0.0006)	
[Train] Epoch: [1][91/100]	Time 0.441 (0.495)	Gen. Loss 0.1162 (0.1058)	Disc. Loss 0.0015 (-0.0006)	
[Train] Epoch: [1][92/100]	Time 0.442 (0.495)	Gen. Loss 0.1007 (0.1057)	Disc. Loss -0.0036 (-0.0006)	
[Train] Epoch: [1][93/100]	Time 0.442 (0.494)	Gen. Loss 0.1062 (0.1057)	Disc. Loss -0.0079 (-0.0007)	
[Train] Epoch: [1][94/100]	Time 0.440 (0.494)	Gen. Loss 0.1086 (0.1058)	Disc. Loss 0.0128 (-0.0006)	
[Train] Epoch: [1][95/100]	Time 0.440 (0.493)	Gen. Loss 0.1049 (0.1058)	Disc. Loss -0.0146 (-0.0007)	
[Train] Epoch: [1][96/100]	Time 0.441 (0.493)	Gen. Loss 0.1026 (0.1057)	Disc. Loss 0.0024 (-0.0007)	
[Train] Epoch: [1][97/100]	Time 0.441 (0.492)	Gen. Loss 0.1263 (0.1059)	Disc. Loss 0.0064 (-0.0006)	
[Train] Epoch: [1][98/100]	Time 0.441 (0.492)	Gen. Loss 0.0991 (0.1059)	Disc. Loss -0.0057 (-0.0007)	
[Train] Epoch: [1][99/100]	Time 0.441 (0.491)	Gen. Loss 0.1106 (0.1059)	Disc. Loss -0.0235 (-0.0009)	
[Train] Epoch: [1][100/100]	Time 0.441 (0.491)	Gen. Loss 0.1045 (0.1059)	Disc. Loss 0.0055 (-0.0008)	
[Train] Epoch: [2][1/100]	Time 1.737 (1.737)	Gen. Loss 0.1147 (0.1147)	Disc. Loss 0.0023 (0.0023)	
[Train] Epoch: [2][2/100]	Time 0.441 (1.089)	Gen. Loss 0.1032 (0.1089)	Disc. Loss -0.0138 (-0.0057)	
[Train] Epoch: [2][3/100]	Time 0.442 (0.873)	Gen. Loss 0.1101 (0.1093)	Disc. Loss -0.0110 (-0.0075)	
[Train] Epoch: [2][4/100]	Time 0.443 (0.766)	Gen. Loss 0.1114 (0.1099)	Disc. Loss 0.0172 (-0.0013)	
[Train] Epoch: [2][5/100]	Time 0.441 (0.701)	Gen. Loss 0.1047 (0.1088)	Disc. Loss 0.0061 (0.0002)	
[Train] Epoch: [2][6/100]	Time 0.442 (0.658)	Gen. Loss 0.1150 (0.1098)	Disc. Loss 0.0007 (0.0003)	
[Train] Epoch: [2][7/100]	Time 0.443 (0.627)	Gen. Loss 0.1080 (0.1096)	Disc. Loss -0.0154 (-0.0020)	
[Train] Epoch: [2][8/100]	Time 0.442 (0.604)	Gen. Loss 0.1147 (0.1102)	Disc. Loss -0.0230 (-0.0046)	
[Train] Epoch: [2][9/100]	Time 0.443 (0.586)	Gen. Loss 0.0977 (0.1088)	Disc. Loss -0.0227 (-0.0066)	
[Train] Epoch: [2][10/100]	Time 0.442 (0.571)	Gen. Loss 0.1230 (0.1102)	Disc. Loss -0.0046 (-0.0064)	
[Train] Epoch: [2][11/100]	Time 0.442 (0.560)	Gen. Loss 0.1127 (0.1105)	Disc. Loss -0.0246 (-0.0081)	
[Train] Epoch: [2][12/100]	Time 0.441 (0.550)	Gen. Loss 0.1183 (0.1111)	Disc. Loss 0.0118 (-0.0064)	
[Train] Epoch: [2][13/100]	Time 0.442 (0.542)	Gen. Loss 0.1137 (0.1113)	Disc. Loss 0.0010 (-0.0058)	
[Train] Epoch: [2][14/100]	Time 0.443 (0.534)	Gen. Loss 0.1193 (0.1119)	Disc. Loss 0.0012 (-0.0053)	
[Train] Epoch: [2][15/100]	Time 0.442 (0.528)	Gen. Loss 0.1097 (0.1117)	Disc. Loss -0.0197 (-0.0063)	
[Train] Epoch: [2][16/100]	Time 0.442 (0.523)	Gen. Loss 0.1126 (0.1118)	Disc. Loss 0.0075 (-0.0054)	
[Train] Epoch: [2][17/100]	Time 0.444 (0.518)	Gen. Loss 0.1052 (0.1114)	Disc. Loss 0.0025 (-0.0050)	
[Train] Epoch: [2][18/100]	Time 0.442 (0.514)	Gen. Loss 0.1111 (0.1114)	Disc. Loss 0.0028 (-0.0045)	
[Train] Epoch: [2][19/100]	Time 0.442 (0.510)	Gen. Loss 0.1029 (0.1109)	Disc. Loss -0.0297 (-0.0059)	
[Train] Epoch: [2][20/100]	Time 0.442 (0.507)	Gen. Loss 0.1122 (0.1110)	Disc. Loss -0.0074 (-0.0059)	
[Train] Epoch: [2][21/100]	Time 0.442 (0.504)	Gen. Loss 0.1080 (0.1109)	Disc. Loss -0.0139 (-0.0063)	
[Train] Epoch: [2][22/100]	Time 0.441 (0.501)	Gen. Loss 0.1226 (0.1114)	Disc. Loss -0.0128 (-0.0066)	
[Train] Epoch: [2][23/100]	Time 0.441 (0.498)	Gen. Loss 0.1218 (0.1118)	Disc. Loss -0.0115 (-0.0068)	
[Train] Epoch: [2][24/100]	Time 0.442 (0.496)	Gen. Loss 0.1109 (0.1118)	Disc. Loss -0.0199 (-0.0074)	
[Train] Epoch: [2][25/100]	Time 0.441 (0.494)	Gen. Loss 0.1061 (0.1116)	Disc. Loss -0.0162 (-0.0077)	
[Train] Epoch: [2][26/100]	Time 0.442 (0.492)	Gen. Loss 0.1103 (0.1115)	Disc. Loss 0.0151 (-0.0068)	
[Train] Epoch: [2][27/100]	Time 0.442 (0.490)	Gen. Loss 0.1082 (0.1114)	Disc. Loss -0.0066 (-0.0068)	
[Train] Epoch: [2][28/100]	Time 0.442 (0.488)	Gen. Loss 0.1152 (0.1115)	Disc. Loss 0.0026 (-0.0065)	
[Train] Epoch: [2][29/100]	Time 0.442 (0.487)	Gen. Loss 0.1214 (0.1119)	Disc. Loss 0.0040 (-0.0061)	
[Train] Epoch: [2][30/100]	Time 0.442 (0.485)	Gen. Loss 0.1103 (0.1118)	Disc. Loss 0.0160 (-0.0054)	
[Train] Epoch: [2][31/100]	Time 0.443 (0.484)	Gen. Loss 0.1291 (0.1124)	Disc. Loss 0.0119 (-0.0048)	
[Train] Epoch: [2][32/100]	Time 0.444 (0.483)	Gen. Loss 0.1063 (0.1122)	Disc. Loss -0.0024 (-0.0048)	
[Train] Epoch: [2][33/100]	Time 0.443 (0.481)	Gen. Loss 0.1116 (0.1122)	Disc. Loss -0.0039 (-0.0047)	
[Train] Epoch: [2][34/100]	Time 0.443 (0.480)	Gen. Loss 0.1083 (0.1121)	Disc. Loss 0.0064 (-0.0044)	
[Train] Epoch: [2][35/100]	Time 0.443 (0.479)	Gen. Loss 0.1229 (0.1124)	Disc. Loss 0.0303 (-0.0034)	
[Train] Epoch: [2][36/100]	Time 0.442 (0.478)	Gen. Loss 0.1231 (0.1127)	Disc. Loss 0.0122 (-0.0030)	
[Train] Epoch: [2][37/100]	Time 0.442 (0.477)	Gen. Loss 0.1174 (0.1128)	Disc. Loss -0.0389 (-0.0040)	
[Train] Epoch: [2][38/100]	Time 0.442 (0.476)	Gen. Loss 0.1184 (0.1129)	Disc. Loss -0.0110 (-0.0041)	
[Train] Epoch: [2][39/100]	Time 0.443 (0.475)	Gen. Loss 0.1077 (0.1128)	Disc. Loss -0.0026 (-0.0041)	
[Train] Epoch: [2][40/100]	Time 0.442 (0.475)	Gen. Loss 0.1132 (0.1128)	Disc. Loss -0.0103 (-0.0043)	
[Train] Epoch: [2][41/100]	Time 0.443 (0.474)	Gen. Loss 0.1118 (0.1128)	Disc. Loss -0.0165 (-0.0046)	
[Train] Epoch: [2][42/100]	Time 0.442 (0.473)	Gen. Loss 0.1124 (0.1128)	Disc. Loss 0.0273 (-0.0038)	
[Train] Epoch: [2][43/100]	Time 0.442 (0.472)	Gen. Loss 0.1181 (0.1129)	Disc. Loss 0.0047 (-0.0036)	
[Train] Epoch: [2][44/100]	Time 0.442 (0.472)	Gen. Loss 0.1142 (0.1129)	Disc. Loss -0.0026 (-0.0036)	
[Train] Epoch: [2][45/100]	Time 0.443 (0.471)	Gen. Loss 0.1203 (0.1131)	Disc. Loss 0.0064 (-0.0034)	
[Train] Epoch: [2][46/100]	Time 0.441 (0.470)	Gen. Loss 0.1131 (0.1131)	Disc. Loss 0.0138 (-0.0030)	
[Train] Epoch: [2][47/100]	Time 0.443 (0.470)	Gen. Loss 0.1178 (0.1132)	Disc. Loss 0.0010 (-0.0029)	
[Train] Epoch: [2][48/100]	Time 0.441 (0.469)	Gen. Loss 0.1132 (0.1132)	Disc. Loss 0.0062 (-0.0027)	
[Train] Epoch: [2][49/100]	Time 0.443 (0.469)	Gen. Loss 0.1156 (0.1133)	Disc. Loss -0.0145 (-0.0029)	
[Train] Epoch: [2][50/100]	Time 0.442 (0.468)	Gen. Loss 0.1191 (0.1134)	Disc. Loss -0.0005 (-0.0029)	
[Train] Epoch: [2][51/100]	Time 0.443 (0.468)	Gen. Loss 0.1160 (0.1134)	Disc. Loss 0.0194 (-0.0025)	
[Train] Epoch: [2][52/100]	Time 0.442 (0.467)	Gen. Loss 0.1133 (0.1134)	Disc. Loss 0.0102 (-0.0022)	
[Train] Epoch: [2][53/100]	Time 0.442 (0.467)	Gen. Loss 0.1133 (0.1134)	Disc. Loss 0.0120 (-0.0019)	
[Train] Epoch: [2][54/100]	Time 0.442 (0.466)	Gen. Loss 0.1173 (0.1135)	Disc. Loss 0.0154 (-0.0016)	
[Train] Epoch: [2][55/100]	Time 0.442 (0.466)	Gen. Loss 0.1061 (0.1134)	Disc. Loss -0.0113 (-0.0018)	
[Train] Epoch: [2][56/100]	Time 0.442 (0.465)	Gen. Loss 0.1102 (0.1133)	Disc. Loss -0.0056 (-0.0019)	
[Train] Epoch: [2][57/100]	Time 0.442 (0.465)	Gen. Loss 0.1251 (0.1135)	Disc. Loss -0.0058 (-0.0019)	
[Train] Epoch: [2][58/100]	Time 0.442 (0.465)	Gen. Loss 0.1120 (0.1135)	Disc. Loss -0.0025 (-0.0019)	
[Train] Epoch: [2][59/100]	Time 0.443 (0.464)	Gen. Loss 0.1148 (0.1135)	Disc. Loss -0.0012 (-0.0019)	
[Train] Epoch: [2][60/100]	Time 0.442 (0.464)	Gen. Loss 0.1211 (0.1136)	Disc. Loss -0.0130 (-0.0021)	
[Train] Epoch: [2][61/100]	Time 0.442 (0.463)	Gen. Loss 0.1215 (0.1138)	Disc. Loss -0.0085 (-0.0022)	
[Train] Epoch: [2][62/100]	Time 0.442 (0.463)	Gen. Loss 0.1226 (0.1139)	Disc. Loss -0.0219 (-0.0025)	
[Train] Epoch: [2][63/100]	Time 0.441 (0.463)	Gen. Loss 0.1261 (0.1141)	Disc. Loss 0.0048 (-0.0024)	
[Train] Epoch: [2][64/100]	Time 0.442 (0.462)	Gen. Loss 0.1061 (0.1140)	Disc. Loss -0.0027 (-0.0024)	
[Train] Epoch: [2][65/100]	Time 0.442 (0.462)	Gen. Loss 0.1160 (0.1140)	Disc. Loss 0.0085 (-0.0023)	
[Train] Epoch: [2][66/100]	Time 0.442 (0.462)	Gen. Loss 0.1191 (0.1141)	Disc. Loss 0.0139 (-0.0020)	
[Train] Epoch: [2][67/100]	Time 0.443 (0.462)	Gen. Loss 0.1129 (0.1141)	Disc. Loss 0.0006 (-0.0020)	
[Train] Epoch: [2][68/100]	Time 0.442 (0.461)	Gen. Loss 0.1199 (0.1141)	Disc. Loss -0.0006 (-0.0020)	
[Train] Epoch: [2][69/100]	Time 0.442 (0.461)	Gen. Loss 0.1086 (0.1141)	Disc. Loss -0.0037 (-0.0020)	
[Train] Epoch: [2][70/100]	Time 0.442 (0.461)	Gen. Loss 0.1098 (0.1140)	Disc. Loss 0.0193 (-0.0017)	
[Train] Epoch: [2][71/100]	Time 0.443 (0.460)	Gen. Loss 0.1108 (0.1140)	Disc. Loss -0.0138 (-0.0019)	
[Train] Epoch: [2][72/100]	Time 0.443 (0.460)	Gen. Loss 0.1185 (0.1140)	Disc. Loss 0.0050 (-0.0018)	
[Train] Epoch: [2][73/100]	Time 0.443 (0.460)	Gen. Loss 0.1097 (0.1140)	Disc. Loss -0.0274 (-0.0021)	
[Train] Epoch: [2][74/100]	Time 0.442 (0.460)	Gen. Loss 0.1172 (0.1140)	Disc. Loss 0.0051 (-0.0020)	
[Train] Epoch: [2][75/100]	Time 0.443 (0.459)	Gen. Loss 0.1238 (0.1141)	Disc. Loss 0.0240 (-0.0017)	
[Train] Epoch: [2][76/100]	Time 0.442 (0.459)	Gen. Loss 0.1191 (0.1142)	Disc. Loss -0.0030 (-0.0017)	
[Train] Epoch: [2][77/100]	Time 0.442 (0.459)	Gen. Loss 0.1191 (0.1143)	Disc. Loss -0.0141 (-0.0018)	
